Follow your bliss,James Campbell
Every man is guilty of all the good he did not do.,Voltaire
"It's survival of the fittest, and we got the fucking guns.",Pi
Try not to become a man of success but a man of value.,Albert Einstein
Inspiration and genius--one and the same.,Victor Hugo
They can because they think they can.,Virgil
Keep steadily before you the fact that all true success depends at last upon yourself.,Theodore T. Hunger
Most of the shadows of this life are caused by our standing in our own sunshine.,Ralph Waldo Emerson
Our truest life is when we are in dreams awake.,Henry David Thoreau
The future is not set. There is no fate but what we make for ourselves,John Connor (Terminator 2)
Do or do not... there is no try.,Yoda
Imagination is more important than knowledge.,Albert Einstein
Hope is the dream of a man awake.,French Proverb
Your imagination is your preview of life's coming attractions.,Albert Einstein
"Believe that you have it, and you have it.",Latin Proverb
A loving heart is the beginning of all knowledge.,Thomas Carlyle 
A man content to go to heaven alone will never go to heaven.,Boethius 
At the touch of love everyone becomes a poet.,Plato
First love is only a little foolishness and a lot of curiosity.,George Bernard Shaw 
Fortune and love favor the brave.,Ovid
"I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.",Mother Teresa
"If you judge people, you have no time to love them.",Mother Teresa 
Life is the flower for which love is the honey.,Victor Hugo 
Love conquers all.,Virgil 
Love is a canvas furnished by nature and embroidered by imagination.,Voltaire 
Love is composed of a single soul inhabiting two bodies.,Aristotle 
All life is an experiment. The more experiments you make the better.,Ralph Waldo Emerson 
"Everything has been figured out, except how to live.",Jean-Paul Sartre 
"It is not length of life, but depth of life.",Ralph Waldo Emerson 
A guilty conscience needs to confess. A work of art is a confession.,Albert Camus 
A man paints with his brains and not with his hands.,Michelangelo 
A picture is a poem without words.,Horace 
An artist is somebody who produces things that people don't need to have.,Andy Warhol 
Art enables us to find ourselves and lose ourselves at the same time.,Thomas Merton 
Art is either plagiarism or revolution.,Paul Gauguin 
Art washes away from the soul the dust of everyday life.,Pablo Picasso 
Artists don't make objects. Artists make mythologies.,Anish Kapoor 
Drawing is the honesty of the art. There is no possibility of cheating. It is either good or bad.,Salvador Dali 
Every child is an artist. The problem is how to remain an artist once we grow up.,Pablo Picasso 
Bill Gates is a very rich man today... and do you want to know why? The answer is one word: versions.,Dave Barry 
Men have become the tools of their tools.,Henry David Thoreau 
Everything happens to everybody sooner or later if there is time enough.,George Bernard Shaw 
Lost time is never found again.,Benjamin Franklin 
Time is money.,Benjamin Franklin 
Time is the wisest counsellor of all.,Pericles 
You can never plan the future by the past.,Edmund Burke 
Dreams are illustrations... from the book your soul is writing about you.,Marsha Norman 
"Myths are public dreams, dreams are private myths.",Joseph Campbell 
Reality is wrong. Dreams are for real.,Tupac Shakur 
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt 
"Who looks outside, dreams; who looks inside, awakes.",Carl Jung
A man who carries a cat by the tail learns something he can learn in no other way.,Mark Twain 
